Food,Serving Size,Serving Unit,Label Units,Unit Type,Sodium (mg),Potassium (mg),Protein (g),Calories,Cholesterol (mg),Carbs (g),Fat (g),Sat Fat (g),Mono Fat (g),Poly Fat (g),Sugar (g),Calcium (mg),Magnesium (mg),Iron (mg),USDA,Source
"Cashews, Happy Belly Brand, Roasted, Salted (per ounce)", 28 ,Defined Portion, 1.00 ,ounce, 120.0 , 170.0 , 5.0 , 160.0 , -   , 8.0 , 13.0 , 2.5 , 7.0 , 2.5 , 2.0 , -   , 85.0 , 1.7 , -   ,Nutr. Table
Chicken Thigh 3.5 ounces (USDA), 100 ,Standard Weight, 3.50 ,Ounce, 62.0 , 272.0 , 18.6 , 149.0 , 92.0 , -   , 5.3 , 1.7 , 2.2 , 1.4 ,, 6.0 , 21.8 , 0.6 ," 100,305 ",Foundation
Finn Crisp Rye Thins (1), 7 ,Defined Portion, 1.00 ,Slice, 35.0 , -   , 0.5 , 20.0 , -   , 5.0 , -   , -   , -   , -   , 0.2 , -   , 5.0 , 0.5 , -   ,Nutr. Table
"Fish, salmon, Atlantic, farm raised, raw",100,Standard Weight,100,gram,49.49,378.2,20.31875,,62.11,0,13.11,2.277,5.012,4.061,,9.423,25.39,0.2588,,
"Eggs, Grade A, Large, egg whole",50.3,Defined Portion,1,egg,129,132,12.4,617,411,0.96,9.96,3.2,3.63,1.82,,48,11.4,1.67,,
"Garlic, raw",100,Standard Weight,100,gram,,,6.62,597,,28.2,0.38,,,,,,,,,
"Grapes, green, seedless, raw",100,Standard Weight,100,gram,3.171,218.1,0.89875,,,18.60375,0.2325,,,,,9.897,7.118,0.1991,,
"Lettuce, iceberg, raw",100,Standard Weight,100,gram,16.11,139.3,0.7425,,,3.36875,0.07375,,,,,14.24,6.311,0.03325,,
"Lettuce, romaine, green, raw",100,Standard Weight,100,gram,23,260.4,0.976875,,,4.055575,0.07125,,,,,27.56,12.05,0.267,,
"Mandarin, seedless, peeled, raw",100,Standard Weight,100,gram,0,167.2,1.039375,,,13.421825,0.4575,,,,,43.96,12.59,0,,
"Melons, cantaloupe, raw",160,Defined Portion,1,cup,30,157,0.82,34,,8.16,0.18,,,,,9,13,0.38,,
"Melons, honeydew, raw",100,Standard Weight,100,gram,21.15,208.9,0.53125,,,8.14995,0.2163,,,,,6.579,9.504,0,,
"Milk, whole, 3.25% milkfat, with added vitamin D",249,Defined Portion,1,cup,38,150,3.27,251,12,4.63,3.2,1.86,0.688,0.108,,123,11.9,0,,
"Mushroom, portabella",100,Standard Weight,100,gram,5.312,349.3,2.75,,,4.6583,0.3117,,,,,3.235,9.037,0.139,,
"Nuts, cashew nuts, raw",100,Standard Weight,100,gram,4.759,638.3,17.4423,,,36.2887,38.86,,,,,41.95,250.6,5.988,,
"Oil, olive, extra virgin",90.7,Defined Portion,100,milliliter,,,,,,,,15.4,69.2,9.07,,,,,,
"Onions, white, raw",100,Standard Weight,100,gram,2,141,0.89,35,,7.68,0.13,,,,,21,9.3,0.15,,
"Oranges, raw, navels",165,Defined Portion,1,cup,9,166,0.91,196,,11.8,0.15,,,,,43,10.7,0.33,,
"Peanuts, raw",100,Standard Weight,100,gram,1.493,635.6,23.205,,,26.498,43.28,,,,,49.13,179.7,1.554,,
"Peppers, bell, green, raw",100,Standard Weight,100,gram,0,163.1,0.715,,,4.7781,0.1063,,,,,7.496,9.004,0.1861,,
"Potatoes, gold, without skin, raw",100,Standard Weight,100,gram,2.238,445.8,1.8125,,,15.9624,0.2638,,,,,5.943,22.3,0.3728,,
"Rice, white, long grain, unenriched, raw",100,Standard Weight,100,gram,0.4625,82.26,7.03885,,,80.31315,1.033,,,,,4.46,26.53,0.1405,,
"Salt, table, iodized",6.1,Defined Portion,1,teaspoon,38700,2,,,,,,,,,,50,0,0,,
"Sauce, salsa, ready-to-serve",35.7,Defined Portion,2,tablespoon,656,258,1.44,122,,6.74,0.19,,,,,28,15.2,0.42,,
"Sausage, Italian, pork, mild, cooked, pan-fried",86.6,Defined Portion,1,link,766,310,18.2,322,80,2.15,26.2,9.15,11.6,4.96,,12,18.6,1.29,,
"Spinach, baby",100,Standard Weight,100,gram,111.4,581.8,2.851875,,,2.406325,0.6188,,,,,68.35,92.86,1.261,,
"Squash, summer, green, zucchini, includes skin, raw",100,Standard Weight,100,gram,0,225.8,0.984375,,,3.27,0.205,,,,,20.85,15.29,0.1945,,
"Strawberries, raw",100,Standard Weight,100,gram,0,160.7,0.640625,,,7.964375,0.22,,,,,16.9,12.52,0.255,,
"Sweet potatoes, orange flesh, without skin, raw",100,Standard Weight,100,gram,0,486.4,1.578125,,,17.327875,0.375,,,,,22.33,19.14,0.398,,
"Tomato, puree, canned",100,Standard Weight,100,gram,29.36,416.4,1.578125,,,8.036875,0.265,,,,,17.64,19.33,1.237,,
"Tomato, sauce, canned, with salt added",100,Standard Weight,100,gram,416.9,355.5,1.351875,,,6.331625,0.3825,,,,,17.1,18.73,1.107,,
"Yogurt, Greek, plain, whole milk",100,Standard Weight,100,gram,33.76,146.9,8.77888,,16.84,4.75402,4.394,2.393,0.9575,,,110.9,10.7,0,,
"Apples, gala, with skin, raw",100,Standard Weight,100,gram,0.2788,105.9,0.1328125,,,14.7680875,0.15,,,,,6.639,4.947,0.06013,,
"Apples, red delicious, with skin, raw",100,Standard Weight,100,gram,0,95.31,0.1875,,,14.7817,0.2125,,,,,4.656,4.695,0,,
"Bananas, ripe and slightly ripe, raw",115,Defined Portion,1,Banana,0,326,0.74,97,,23,0.29,,,,,5,28,0,,
"Beans, black, canned, sodium added, drained and rinsed",100,Standard Weight,100,gram,217.9,253.1,6.9125,,,19.8135,1.273,,,,,43.31,32.54,1.688,,
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",100,Standard Weight,100,gram,172.3,226.9,7.8,,,21.03,1.256,,,,,56.94,29.31,1.439,,
"Bread, white, commercially prepared",27.3,Defined Portion,1,slice,477,117,9.43,1130,,49.2,3.59,0.821,0.717,1.87,,211,26.9,3.36,,
"Butter, stick, salted",100,Standard Weight,100,gram,524,23,,,235,,82.2,45.6,16.9,2.52,,21,1.6,0.06,,
"Cheese, cheddar",17,Defined Portion,1,slice,654,77,23.3,408,100,2.44,34,19.2,7.44,1.18,,707,26.8,0.16,,
"Cheese, monterey jack, solid",100,Standard Weight,100,gram,662.2,82.94,22.6171,,99.76,1.8979,32.63,19.16,6.679,,,714.6,29.6,0,,
"Chicken, breast, boneless, skinless, raw",100,Standard Weight,100,gram,65.75,330.1,22.525,,72.73,0,1.934,0.3488,0.3688,0.2963,,3.939,26.2,0.3543,,
"Cookies, oatmeal, soft, with raisins",27,Defined Portion,1,cookie,314,245,5.79,1800,,69.6,14.3,4.78,4,4.89,,29,32.4,2.28,,
